Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
home,2025-09-10,2025-09-12,Fully Serviced Holiday Homes Near Emporium Mall & Expo Center,US$99,Scored 7.7,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/587500069.webp?k=cdf4863682f52db8a77b3f112e9656afe8b8f64936922b6e265e042a41398557&o=,images_home\Fully_Serviced_Holiday_Homes_Near_Emporium_Mall___Expo_Center_2025-09-10.jpg
home,2025-09-10,2025-09-12,Roof Top Resort,US$76,Scored 9.1,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/520240276.webp?k=a08b914fc40dd774cef0bf253e3b4cf8a33b6782abfe167c2ac759e1a24fd88f&o=,images_home\Roof_Top_Resort_2025-09-10.jpg
home,2025-09-10,2025-09-12,Luxury Dream Vacation Home in DHA Near Lahore Airport,US$142,Scored 8.6,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/557377410.webp?k=c0d6db3a0453177bf3a1a7f85ac521811fa072330f8cca192c79e8647a245dfa&o=,images_home\Luxury_Dream_Vacation_Home_in_DHA_Near_Lahore_Airport_2025-09-10.jpg
home,2025-09-10,2025-09-12,Peaceful Private Cottage in Khaira Gali Galyat Murree,US$182,Scored 8.7,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/362695824.webp?k=a62c1426442b40aaac416624bdfe982adec7c6d34e692d131fc2f895f6c0517a&o=,images_home\Peaceful_Private_Cottage_in_Khaira_Gali_Galyat_Murree_2025-09-10.jpg
home,2025-09-10,2025-09-12,Apna Farmhouse 1,US$382,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/695021553.webp?k=9e4940cb5cb9ad3d0eaf7e30c42a2fb907c7378f4a9a17ff6c1db5e9d803b267&o=,images_home\Apna_Farmhouse_1_2025-09-10.jpg
home,2025-09-10,2025-09-12,frank inn guest house,US$18,Scored 9.5,,,"G-9 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/642369661.webp?k=cc62bef0e83fc3e94841a340aa623c4400da16f95e5f0d296a7438736d0807a1&o=,images_home\frank_inn_guest_house_2025-09-10.jpg
home,2025-09-10,2025-09-12,"Shangrilla House Murree, Bhurban",US$122,Scored 7.5,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/728785838.webp?k=9ba6fe99242899760559af99e51c7c75a2da4b8f52d761ff285967e870f23843&o=,images_home\Shangrilla_House_Murree__Bhurban_2025-09-10.jpg
home,2025-09-10,2025-09-12,Vip homes jhelum,US$106,Scored 9.4,,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/565400145.webp?k=6ea8e447b0ad7388e168989011875c35081882c1752a79e9d547324efb133970&o=,images_home\Vip_homes_jhelum_2025-09-10.jpg
home,2025-09-10,2025-09-12,Aadam's 1',US$40,Scored 10,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/636174873.webp?k=ea71dd67b1619b94d738ec3e728835aa997c66900043fa500830616371fd7656&o=,images_home\Aadam_s_1__2025-09-10.jpg
home,2025-09-17,2025-09-19,Swiss Cottage Bhurban,US$201,Scored 9.0,,,Bhurban,https://cf.bstatic.com/xdata/images/hotel/square240/551983727.webp?k=33c0fb950312c8ae99561b5393006e0627c3911865f4dfd41e6854266cee8ff7&o=,images_home\Swiss_Cottage_Bhurban_2025-09-17.jpg
home,2025-09-17,2025-09-19,Luxurious Landing Apartments & Suites Bahria Town,US$274,Scored 8.6,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/271573075.webp?k=874a8c7bddf078e6d73e22e58ec1c5a0392c9fcff5852cff56ae907577bd80f4&o=,images_home\Luxurious_Landing_Apartments___Suites_Bahria_Town_2025-09-17.jpg
home,2025-09-17,2025-09-19,The Millenial Apartments & Suites Bahria Town,US$294,Scored 8.9,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/288215115.webp?k=ea999e707f349d9634aa0d23955e076090b7238368c235889e4b8cc645e20f3b&o=,images_home\The_Millenial_Apartments___Suites_Bahria_Town_2025-09-17.jpg
