Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
hotel,2026-03-10,2026-03-12,Montressa Executive Apartments- Luxury Stay Facing Centaurus Mall Islamabad,US$155,Scored 7.5,,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/704315276.webp?k=60f770d5983beaf5b81e9466cbc837dfebabb1302096927aa0e7920a84ee7d3c&o=,images_hotel\Montressa_Executive_Apartments-_Luxury_Stay_Facing_Centaurus_Mall_Islamabad_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Hotel Grand Lahore,US$60,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/410427549.webp?k=4761f746f725498f55fca27fc7965d8fd289cbc95770d700da27b2d1033a7ae6&o=,images_hotel\Hotel_Grand_Lahore_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Holiday Guest House Lahore,US$40,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/659158668.webp?k=e54c5739e3beb9a09d438eb2b25280a160b8d9d1c9a50da3af8c160b4faa96cb&o=,images_hotel\Holiday_Guest_House_Lahore_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Shanze Hotel And Suites,US$32,Scored 6.1,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/682760439.webp?k=757622ae3e7ecfcb159674b295b9b07fc173dac0358d87022ecc04a26a9705b3&o=,images_hotel\Shanze_Hotel_And_Suites_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,The Barcelo hotel,US$95,Scored 8.8,,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Hotel Breezy Lahore,US$46,Scored 8.6,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/610977311.webp?k=ff5075ee70d11dd584697c944bf2f24d8cdc2dfc9edf75858560b75b6f519111&o=,images_hotel\Hotel_Breezy_Lahore_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Doves Inn Hotel kalma Chowk,US$30,Scored 8.7,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/698779260.webp?k=57d082ea6220a5f49694f8c1a98d28ad82329db771a08b614110df1feadbc6e3&o=,images_hotel\Doves_Inn_Hotel_kalma_Chowk_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Elysium Luxury Serviced Hotel Apartments Opp Centaurus Mall Islamabad,US$172,Scored 7.5,,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/699342589.webp?k=896a70a182862ee3c03a481d48f523ef4c15c6eeaa6375cc936a4cc79386b54f&o=,images_hotel\Elysium_Luxury_Serviced_Hotel_Apartments_Opp_Centaurus_Mall_Islamabad_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Hikal Guest House,US$36,Scored 9.7,,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/223100496.webp?k=6ea7f50127b36e2b4633019738625cae070a988d69b567ff07c36aa6579c4696&o=,images_hotel\Hikal_Guest_House_2026-03-10.jpg
hotel,2026-03-10,2026-03-12,Gulberg Inn Hotel Lahore,US$53,Scored 7.2,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/623157507.webp?k=796ac5d42ef35c9c3cf6fd747f127d020106524890fafcc7ae704f7941c4fd94&o=,images_hotel\Gulberg_Inn_Hotel_Lahore_2026-03-10.jpg
