Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
apartment,2025-08-13,2025-08-15,Ortus - Murree Hills,US$227,,8.1,Very,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/458385649.webp?k=ac0f8975c05c7527a570640853d8a49d4f4b27ea002929b5c7c4efb5ebaced99&o=,images_apartment\Ortus_-_Murree_Hills_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,"Modern Serviced Apartment in DHA Phase 4, Lahore",US$124,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/724522211.webp?k=42eaccd0d597a69be1a5ce660a4f348d84343cb7a3d9503ee676d75aaa6a13bb&o=,images_apartment\Modern_Serviced_Apartment_in_DHA_Phase_4__Lahore_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Trivelles Executive Suites Islamabad,US$68,,8.8,Fabulous,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/309058565.webp?k=ee81e2f449dfd297f3945537411d16b1e320a760a709b10b5b243b09be52c0aa&o=,images_apartment\Trivelles_Executive_Suites_Islamabad_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Comfortable Apartment Bahria town Rawalpindi,US$36,,8.5,Very,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/634224270.webp?k=b361671af801e012e0dca1a48ff9484704b79574684aaff713728cb190fd6335&o=,images_apartment\Comfortable_Apartment_Bahria_town_Rawalpindi_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Zameen Opal One Bed Apartment,US$58,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/710935941.webp?k=702a38e9847ec611ed7693bbf777a6d9b088db266914671c58b2c113064f3aec&o=,images_apartment\Zameen_Opal_One_Bed_Apartment_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Urban Apartments,US$39,,6.7,Review,Sialkot,https://cf.bstatic.com/xdata/images/hotel/square240/672608123.webp?k=d942bba57660f834d9427f491ee9bbb3c44a86ae6dd7e2ff85757a9bd0342cd2&o=,images_apartment\Urban_Apartments_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Serenity Suite 2BHK Prime Location F-11,US$126,,8.7,Fabulous,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/669365423.webp?k=54a0900034afb5ebbcdf7f43896e2061bdf822be43d2f12d9aed49b9c2b97276&o=,images_apartment\Serenity_Suite_2BHK_Prime_Location_F-11_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Prime Plaza,US$37,,6.7,Review,Gujrānwāla,https://cf.bstatic.com/xdata/images/hotel/square240/727431503.webp?k=7f4728ad5c0b669252871cd03174b5a8656fc344ba23f93df19ace05153cf1a5&o=,images_apartment\Prime_Plaza_2025-08-13.jpg
apartment,2025-08-20,2025-08-22,Gold Crest Premium Apartments DHA Lahore,US$145,,10,Exceptional,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/700270852.webp?k=d62abb279a42a9d389e1b12cac1f20aec1c6cc65ce169bad61a31372aa429cd7&o=,images_apartment\Gold_Crest_Premium_Apartments_DHA_Lahore_2025-08-20.jpg
apartment,2025-08-20,2025-08-22,"Gali's End By Roomy, Kalabagh Nathiagali",US$394,,8.2,Very,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/414221212.webp?k=25379ec2e30c6c04b05713a298e3ae6eb719e02bacd1933c1b09630a66c7d2f1&o=,images_apartment\Gali_s_End_By_Roomy__Kalabagh_Nathiagali_2025-08-20.jpg
apartment,2025-08-20,2025-08-22,Cecil by Pearl Continental,US$354,,7.9,Good,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/635133597.webp?k=7d7a6343546bdce615cbf7e3458f90d1cb1248192ca72cf093d7da807bef9c2c&o=,images_apartment\Cecil_by_Pearl_Continental_2025-08-20.jpg
apartment,2025-08-20,2025-08-22,Boutiqueinn Ayubia,US$177,,6.6,Review,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/328452590.webp?k=1f5effeab157f15a402f7a3c9151b0b3441d67a5375129a3589e564dd26e7e93&o=,images_apartment\Boutiqueinn_Ayubia_2025-08-20.jpg
apartment,2025-09-03,2025-09-05,Holiday Rest Inn Bhurban,US$61,,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/690526652.webp?k=93f1786aef20b2992bcc103d561ea3faed123d603b2f5d73f139db3b924007da&o=,images_apartment\Holiday_Rest_Inn_Bhurban_2025-09-03.jpg
apartment,2025-09-03,2025-09-05,Goldcrest Luxury Apartments,US$138,,9.3,Superb,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/620531969.webp?k=e5d9136b3b3c4b2ab3e3c8e1045e5d8f13a0163c74d25c0bb087fc0f0a412666&o=,images_apartment\Goldcrest_Luxury_Apartments_2025-09-03.jpg
apartment,2025-09-03,2025-09-05,Gold Crest Mall Prestigious Suites with Balcony by CityScape in DHA Lahore,US$126,,9.5,Exceptional,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/707407091.webp?k=1d8c2a98945bdc29a5b692bc8c4f944395317a24fbd74a3e6936c30bd7152995&o=,images_apartment\Gold_Crest_Mall_Prestigious_Suites_with_Balcony_by_CityScape_in_DHA_Lahore_2025-09-03.jpg
apartment,2025-09-03,2025-09-05,Gold Crest Executive Signature Luxury Apartments DHA - Phase 4 Lahore,US$142,,8.3,Very,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/681889043.webp?k=94d97f3226a290500f200732cf698bde7cefc4a1a13d958a5af4d96fd1fa48d7&o=,images_apartment\Gold_Crest_Executive_Signature_Luxury_Apartments_DHA_-_Phase_4_Lahore_2025-09-03.jpg
apartment,2025-09-03,2025-09-05,"Lawrence View Hotel, Lahore",US$119,,8.7,Fabulous,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/455022966.webp?k=cb2e00c6286426d902c205954be4ceda2bdadf1ee9de015310050775a1e015e3&o=,images_apartment\Lawrence_View_Hotel__Lahore_2025-09-03.jpg
