Property Type,Check-in,Check-out,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
apartment,2024-03-01,2024-03-03,The Barcelo Hotel Apartments,,Scored 8.4,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/563044169.webp?k=45825747e76206b612bf05ecc16e227f923dc81bfb07815b1c069144c9c91119&o=,images_apartment\The_Barcelo_Hotel_Apartments_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,Gold Crest Executive Signature Luxury Apartments DHA - Phase 4 Lahore,,Scored 8.3,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/681889043.webp?k=94d97f3226a290500f200732cf698bde7cefc4a1a13d958a5af4d96fd1fa48d7&o=,images_apartment\Gold_Crest_Executive_Signature_Luxury_Apartments_DHA_-_Phase_4_Lahore_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,"Navid's Holiday Resort and Hotel, Murree",,Scored 9.4,,Ghora Gali,https://cf.bstatic.com/xdata/images/hotel/square240/476702060.webp?k=a3d4be285e4fc3ac8a8fcb8cdbbd6917ecdea2df936f6a45d25c8b7178d48bab&o=,images_apartment\Navid_s_Holiday_Resort_and_Hotel__Murree_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,Luxury Apartments - Elysium Opposite to Centaurus Mall,,Scored 9.0,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/593412750.webp?k=08a16fa974292fe27dc99ce8cdce4711c9f64e2d522eb4f0e8deb9e0447eebf6&o=,images_apartment\Luxury_Apartments_-_Elysium_Opposite_to_Centaurus_Mall_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,GreenLux Residency,,Scored 8.7,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/555640986.webp?k=52668b619bd241aa6add1fb52dbcf7d5cf0526f6080015f44ac8508dc7ebee62&o=,images_apartment\GreenLux_Residency_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,Serenity Suite 2BHK Prime Location F-11,,Scored 8.7,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/669365423.webp?k=54a0900034afb5ebbcdf7f43896e2061bdf822be43d2f12d9aed49b9c2b97276&o=,images_apartment\Serenity_Suite_2BHK_Prime_Location_F-11_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,Peak Tower,,Scored 8.1,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/559719828.webp?k=3e01fa0ae1ab05f1818168b81b154dd1b49da730c8d7a62dc19e73465654b28e&o=,images_apartment\Peak_Tower_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,Swiss Cottage Bhurban,,Scored 9.0,,Bhurban,https://cf.bstatic.com/xdata/images/hotel/square240/551983727.webp?k=33c0fb950312c8ae99561b5393006e0627c3911865f4dfd41e6854266cee8ff7&o=,images_apartment\Swiss_Cottage_Bhurban_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,Luxurious One-Bedroom Gold Crest Apartment with Stunning Balcony Retreat DHA Lahore,,Scored 8.5,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/697356003.webp?k=2122f03d8c967fd0bddcf71bbf400d794a9bface7f128358274776fd1d038e4a&o=,images_apartment\Luxurious_One-Bedroom_Gold_Crest_Apartment_with_Stunning_Balcony_Retreat_DHA_Lahore_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,Serenity Corner 4 BHK,,Scored 6.9,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/386427980.webp?k=0cec95f5d2e875248e1d7cd7e430998f50a789bc5c675820e558088b7fb00e01&o=,images_apartment\Serenity_Corner_4_BHK_2024-03-01.jpg
apartment,2024-03-01,2024-03-03,De-Meridian Luxury Apartments,,Scored 8.1,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/431037791.webp?k=2c7c19c81a8a42803277d8519c41ceb8f21b4110c1a4130545965da618ec0ce9&o=,images_apartment\De-Meridian_Luxury_Apartments_2024-03-01.jpg
apartment,2024-04-01,2024-04-03,One Constitution Avenue by SUPERHOST STAYS,,Scored 7.1,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/607630823.webp?k=0a1a8cf1706dd0329a311fa87edd43a9db0de73a573f6d5f2737ae916d1166e2&o=,images_apartment\One_Constitution_Avenue_by_SUPERHOST_STAYS_2024-04-01.jpg
apartment,2024-04-01,2024-04-03,Luxury Apartment Rentals,,Scored 6.3,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/536066131.webp?k=e1385940fdca25e5ae28b7d74269faf17a2b108de0d526425ffee5493638a080&o=,images_apartment\Luxury_Apartment_Rentals_2024-04-01.jpg
