City,Property Type,Name,Rating,Reviews Count,Location,Image URL,Image Path
Muzaffarabad,apartment,The calm corner,10,10,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/710728057.webp?k=f904aa9fc4b90b2f266c3dc4960381742f1e0897721b039264d6d452daa27247&o=,images_apartment\The_calm_corner.jpg
Muzaffarabad,apartment,Adults Only! Kashmir Eagle Heights Cottage & Restaurant by LMC,7.3,7,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/436216174.webp?k=b0a42e4672d720408174ca4f5efaea63fac86374d06226de05a4c9abb8b501c3&o=,images_apartment\Adults_Only__Kashmir_Eagle_Heights_Cottage___Restaurant_by_LMC.jpg
Muzaffarabad,apartment,City View,,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/588082960.webp?k=cd6c8d96c97c24e0eeac98278c27faa87458202f9d2a0083f6ed765fca85aa2f&o=,images_apartment\City_View.jpg
Muzaffarabad,apartment,Velvet Pine 2,,,Abbottābād,https://cf.bstatic.com/xdata/images/hotel/square240/727977311.webp?k=ccc07dc630a8640e0e7a4c774ca45d8495a71d49cccea8b8ebcc80c960241a75&o=,images_apartment\Velvet_Pine_2.jpg
Muzaffarabad,apartment,The Stonewood Cottage Of Country Club Balakot,,,Pori,https://cf.bstatic.com/xdata/images/hotel/square240/647805850.webp?k=e020cdd17ecb6324a8df1fba49bf5d2c9d9137c3484a1216e9009f52566c0357&o=,images_apartment\The_Stonewood_Cottage_Of_Country_Club_Balakot.jpg
Muzaffarabad,apartment,Sarai Abbottabad,,,Abbottābād,https://cf.bstatic.com/xdata/images/hotel/square240/709571058.webp?k=469f2ff82d157eafed2973569c0ed8900152b37703fc45b0eba06739ed31ebbb&o=,images_apartment\Sarai_Abbottabad.jpg
Muzaffarabad,apartment,Maplin stay,5.5,5,Abbottābād,https://cf.bstatic.com/xdata/images/hotel/square240/695428462.webp?k=b5d63284b581d17524cf828aca2709053afa7e40e0b056ba71133a1950749885&o=,images_apartment\Maplin_stay.jpg
Muzaffarabad,apartment,Areej heights,,,Abbottabad,https://cf.bstatic.com/xdata/images/hotel/square240/579279533.webp?k=d264d9bc5890ed9a9631e09fb6742564efa1c23ac7339b7a35c54d9e56063f79&o=,images_apartment\Areej_heights.jpg
Muzaffarabad,apartment,Burn Hall view Hotel,,,Abbottabad,https://cf.bstatic.com/xdata/images/hotel/square240/602262226.webp?k=5105b8320b5aac20e0cf277a889077ba2d1ff174fe6f07e613325ceaf787fe47&o=,images_apartment\Burn_Hall_view_Hotel.jpg
Muzaffarabad,apartment,"Gali's End By Roomy, Kalabagh Nathiagali",8.2,8,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/414221212.webp?k=25379ec2e30c6c04b05713a298e3ae6eb719e02bacd1933c1b09630a66c7d2f1&o=,images_apartment\Gali_s_End_By_Roomy__Kalabagh_Nathiagali.jpg
Muzaffarabad,apartment,Green Oasis,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/728371389.webp?k=fc9de0fd727d6da11814d9fa0c0e94e7e441e8ebe9d908d307e2473f1eb7172f&o=,images_apartment\Green_Oasis.jpg
Muzaffarabad,apartment,Beautiful Place in City centre,,,Abbottabad,https://cf.bstatic.com/xdata/images/hotel/square240/728358442.webp?k=872b6705f59efe32ebc6f124437278e29bc039f51f0c3423e8d3909d28b6ffbf&o=,images_apartment\Beautiful_Place_in_City_centre.jpg
Muzaffarabad,apartment,AK accomodation,,,Jabri,https://cf.bstatic.com/xdata/images/hotel/square240/711829555.webp?k=6b8af236d748c826f715d5bdf2858ccb6e99bdd4da555187b1b1d97e2b41a82c&o=,images_apartment\AK_accomodation.jpg
Muzaffarabad,apartment,The Balaj Cottages,5.8,5,Kālābāgh,https://cf.bstatic.com/xdata/images/hotel/square240/700234697.webp?k=9a376525ead724d25a71016b6f786da239ef41d9b1c2da8e85fca46fe09dd94a&o=,images_apartment\The_Balaj_Cottages.jpg
Muzaffarabad,apartment,Valley View Residence Kalabagh,5.8,5,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/486818715.webp?k=84703a8400c551c99e0fac3262956152e637a5f56992d231dee3b9979a95dac3&o=,images_apartment\Valley_View_Residence_Kalabagh.jpg
Muzaffarabad,apartment,Faimly cottages,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/696553626.webp?k=ce7a43f7be7754cb9de2565a8f5e46ea96dabcf2990950aa789e9c40cf57a0af&o=,images_apartment\Faimly_cottages.jpg
Muzaffarabad,apartment,Nathigali tour travel,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/727385942.webp?k=ee2f299e641612a44a3c12193c91078b3543d42f882075b61d3860f7319a602b&o=,images_apartment\Nathigali_tour_travel.jpg
Muzaffarabad,apartment,Panorama Luxury House,7.6,7,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/475073854.webp?k=b36b13d2ad42dd519a1065b5c33c8865afca683ae8e7e28bd1dc0e2762047b90&o=,images_apartment\Panorama_Luxury_House.jpg
Muzaffarabad,apartment,In cottage nathigali,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/684406220.webp?k=a8121bef18cd2ce30aadd2dcc25cadc7bd4016b2efeb9322b32f732f660cbce6&o=,images_apartment\In_cottage_nathigali.jpg
Muzaffarabad,apartment,Sardar House,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/726391461.webp?k=68c150dbc67c6497812cd5b0466c59c9e0a160d635b4094f853512dc51772740&o=,images_apartment\Sardar_House.jpg
Muzaffarabad,apartment,Bellevue Luxury Apartments Nathia Gali,8.1,8,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/451726824.webp?k=84d797900f2033c52968333d342d38b7c9f05c51c2698ce731c05ff443f475ff&o=,images_apartment\Bellevue_Luxury_Apartments_Nathia_Gali.jpg
Muzaffarabad,apartment,Blue sky Apartment,7.4,7,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/713692890.webp?k=aa029fde15fe646ddcb992d0862ae5eb5eff5fbde1af97eea32ad5bcec1fc750&o=,images_apartment\Blue_sky_Apartment.jpg
Muzaffarabad,apartment,Misty Pines Cottage,10,10,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/706604280.webp?k=ff35ddaf3d132523d617eadd52ae0118f65043026b560a38cd869095b25efc0c&o=,images_apartment\Misty_Pines_Cottage.jpg
Muzaffarabad,apartment,Pine park gust house,,,Bāzār,https://cf.bstatic.com/xdata/images/hotel/square240/671631844.webp?k=698e30f35221f9c24897bbfd2bf710fef0042c77959b2965b0ec4419e3333b22&o=,images_apartment\Pine_park_gust_house.jpg
